_id,value_seconds,_id,value_firsts,abs_diff,percent_diff
1902_1,2,1902_1,0,2,inf
1902_11,2,1902_11,1,1,1.0
1902_12,2,1902_12,2,0,0.0
1902_2,1,1902_2,1,0,0.0
1902_3,2,1902_3,4,-2,-0.5
1902_4,2,1902_4,1,1,1.0
1902_5,0,1902_5,2,-2,-1.0
1902_6,1,1902_6,1,0,0.0
1902_7,3,1902_7,4,-1,-0.25
1902_8,1,1902_8,0,1,inf
1902_9,2,1902_9,0,2,inf
1903_1,0,1903_1,2,-2,-1.0
1903_10,1,1903_10,2,-1,-0.5
1903_11,0,1903_11,2,-2,-1.0
1903_12,2,1903_12,2,0,0.0
1903_2,4,1903_2,2,2,1.0
1903_3,2,1903_3,0,2,inf
1903_4,1,1903_4,1,0,0.0
1903_5,0,1903_5,1,-1,-1.0
1903_6,1,1903_6,1,0,0.0
1903_9,1,1903_9,0,1,inf
1904_1,4,1904_1,2,2,1.0
1904_10,2,1904_10,1,1,1.0
1904_11,1,1904_11,0,1,inf
1904_12,3,1904_12,1,2,2.0
1904_2,1,1904_2,1,0,0.0
1904_3,3,1904_3,2,1,0.5
1904_4,5,1904_4,3,2,0.6666666666666666
1904_5,0,1904_5,3,-3,-1.0
1904_6,2,1904_6,1,1,1.0
1904_7,3,1904_7,0,3,inf
1904_9,1,1904_9,2,-1,-0.5
1905_1,5,1905_1,6,-1,-0.16666666666666666
1905_10,4,1905_10,3,1,0.3333333333333333
1905_11,1,1905_11,3,-2,-0.6666666666666666
1905_12,1,1905_12,1,0,0.0
1905_2,2,1905_2,1,1,1.0
1905_3,2,1905_3,2,0,0.0
1905_4,0,1905_4,1,-1,-1.0
1905_5,1,1905_5,2,-1,-0.5
1905_6,1,1905_6,0,1,inf
1905_7,3,1905_7,2,1,0.5
1905_8,0,1905_8,1,-1,-1.0
1905_9,2,1905_9,1,1,1.0
1906_1,0,1906_1,1,-1,-1.0
1906_10,2,1906_10,3,-1,-0.3333333333333333
1906_11,0,1906_11,1,-1,-1.0
1906_12,1,1906_12,0,1,inf
1906_2,2,1906_2,1,1,1.0
1906_3,1,1906_3,3,-2,-0.6666666666666666
1906_4,3,1906_4,2,1,0.5
1906_5,1,1906_5,1,0,0.0
1906_6,2,1906_6,1,1,1.0
1906_8,1,1906_8,0,1,inf
1906_9,2,1906_9,0,2,inf
1907_10,1,1907_10,1,0,0.0
1907_12,1,1907_12,1,0,0.0
1907_3,0,1907_3,1,-1,-1.0
1907_6,3,1907_6,3,0,0.0
1907_7,3,1907_7,0,3,inf
1907_8,2,1907_8,0,2,inf
1907_9,3,1907_9,1,2,2.0
1908_1,3,1908_1,0,3,inf
1908_10,2,1908_10,1,1,1.0
1908_11,1,1908_11,1,0,0.0
1908_12,1,1908_12,2,-1,-0.5
1908_2,1,1908_2,0,1,inf
1908_3,1,1908_3,1,0,0.0
1908_4,1,1908_4,4,-3,-0.75
1908_5,0,1908_5,1,-1,-1.0
1908_6,1,1908_6,0,1,inf
1908_7,2,1908_7,0,2,inf
1908_9,2,1908_9,2,0,0.0
1909_1,1,1909_1,3,-2,-0.6666666666666666
1909_10,2,1909_10,1,1,1.0
1909_12,1,1909_12,0,1,inf
1909_2,1,1909_2,0,1,inf
1909_3,1,1909_3,1,0,0.0
1909_4,2,1909_4,1,1,1.0
1909_5,0,1909_5,1,-1,-1.0
1909_6,2,1909_6,2,0,0.0
1909_7,2,1909_7,1,1,1.0
1909_8,2,1909_8,1,1,1.0
1909_9,2,1909_9,2,0,0.0
1910_1,2,1910_1,0,2,inf
1910_10,2,1910_10,0,2,inf
1910_11,2,1910_11,0,2,inf
1910_12,2,1910_12,1,1,1.0
1910_3,5,1910_3,2,3,1.5
1910_4,2,1910_4,0,2,inf
1910_5,1,1910_5,0,1,inf
1910_6,3,1910_6,1,2,2.0
1910_7,1,1910_7,0,1,inf
1911_1,1,1911_1,1,0,0.0
1911_10,1,1911_10,1,0,0.0
1911_11,1,1911_11,1,0,0.0
1911_12,1,1911_12,0,1,inf
1911_3,2,1911_3,1,1,1.0
1911_5,2,1911_5,0,2,inf
1911_6,4,1911_6,1,3,3.0
1911_7,4,1911_7,1,3,3.0
1911_8,2,1911_8,1,1,1.0
1911_9,1,1911_9,1,0,0.0
1912_1,1,1912_1,0,1,inf
1912_10,1,1912_10,0,1,inf
1912_12,1,1912_12,0,1,inf
1912_3,2,1912_3,3,-1,-0.3333333333333333
1912_5,1,1912_5,0,1,inf
1912_6,4,1912_6,4,0,0.0
1912_7,3,1912_7,4,-1,-0.25
1912_9,2,1912_9,1,1,1.0
1913_1,2,1913_1,2,0,0.0
1913_10,3,1913_10,5,-2,-0.4
1913_12,2,1913_12,0,2,inf
1913_2,1,1913_2,2,-1,-0.5
1913_3,4,1913_3,0,4,inf
1913_4,1,1913_4,2,-1,-0.5
1913_5,2,1913_5,0,2,inf
1913_6,1,1913_6,2,-1,-0.5
1913_7,0,1913_7,1,-1,-1.0
1913_8,0,1913_8,1,-1,-1.0
1913_9,1,1913_9,3,-2,-0.6666666666666666
1914_1,1,1914_1,1,0,0.0
1914_10,2,1914_10,1,1,1.0
1914_11,3,1914_11,0,3,inf
1914_12,0,1914_12,1,-1,-1.0
1914_3,1,1914_3,1,0,0.0
1914_4,4,1914_4,5,-1,-0.2
1914_5,3,1914_5,0,3,inf
1914_6,1,1914_6,2,-1,-0.5
1914_7,0,1914_7,1,-1,-1.0
1914_8,2,1914_8,0,2,inf
1914_9,3,1914_9,3,0,0.0
1915_1,4,1915_1,1,3,3.0
1915_10,2,1915_10,1,1,1.0
1915_11,0,1915_11,3,-3,-1.0
1915_12,2,1915_12,3,-1,-0.3333333333333333
1915_2,3,1915_2,2,1,0.5
1915_3,1,1915_3,1,0,0.0
1915_4,5,1915_4,5,0,0.0
1915_5,2,1915_5,1,1,1.0
1915_6,2,1915_6,3,-1,-0.3333333333333333
1915_7,1,1915_7,1,0,0.0
1915_9,0,1915_9,3,-3,-1.0
1916_1,3,1916_1,2,1,0.5
1916_10,2,1916_10,0,2,inf
1916_11,4,1916_11,2,2,1.0
1916_12,4,1916_12,3,1,0.3333333333333333
1916_2,3,1916_2,3,0,0.0
1916_3,2,1916_3,1,1,1.0
1916_4,1,1916_4,0,1,inf
1916_5,3,1916_5,1,2,2.0
1916_6,3,1916_6,1,2,2.0
1916_7,2,1916_7,1,1,1.0
1916_9,3,1916_9,2,1,0.5
1917_1,6,1917_1,3,3,1.0
1917_10,0,1917_10,1,-1,-1.0
1917_11,5,1917_11,4,1,0.25
1917_12,1,1917_12,2,-1,-0.5
1917_2,5,1917_2,2,3,1.5
1917_3,4,1917_3,5,-1,-0.2
1917_4,3,1917_4,2,1,0.5
1917_5,1,1917_5,0,1,inf
1917_6,1,1917_6,1,0,0.0
1917_7,2,1917_7,2,0,0.0
1917_8,3,1917_8,3,0,0.0
1917_9,2,1917_9,3,-1,-0.3333333333333333
1918_1,3,1918_1,3,0,0.0
1918_11,3,1918_11,3,0,0.0
1918_2,4,1918_2,0,4,inf
1918_3,4,1918_3,1,3,3.0
1918_4,3,1918_4,1,2,2.0
1918_5,1,1918_5,2,-1,-0.5
1918_6,0,1918_6,1,-1,-1.0
1918_7,2,1918_7,7,-5,-0.7142857142857143
1918_8,2,1918_8,2,0,0.0
1918_9,0,1918_9,1,-1,-1.0
1919_1,2,1919_1,0,2,inf
1919_10,2,1919_10,1,1,1.0
1919_11,2,1919_11,1,1,1.0
1919_12,2,1919_12,2,0,0.0
1919_2,1,1919_2,0,1,inf
1919_3,1,1919_3,1,0,0.0
1919_4,1,1919_4,0,1,inf
1919_5,3,1919_5,4,-1,-0.25
1919_6,1,1919_6,3,-2,-0.6666666666666666
1919_7,7,1919_7,3,4,1.3333333333333333
1919_8,0,1919_8,2,-2,-1.0
1919_9,3,1919_9,0,3,inf
1920_1,3,1920_1,4,-1,-0.25
1920_10,0,1920_10,2,-2,-1.0
1920_12,2,1920_12,0,2,inf
1920_2,2,1920_2,1,1,1.0
1920_3,1,1920_3,1,0,0.0
1920_4,0,1920_4,2,-2,-1.0
1920_5,2,1920_5,1,1,1.0
1920_6,0,1920_6,1,-1,-1.0
1920_7,0,1920_7,1,-1,-1.0
1920_8,3,1920_8,1,2,2.0
1920_9,3,1920_9,3,0,0.0
1921_1,2,1921_1,2,0,0.0
1921_12,2,1921_12,1,1,1.0
1921_2,2,1921_2,2,0,0.0
1921_3,1,1921_3,1,0,0.0
1921_4,4,1921_4,0,4,inf
1921_5,4,1921_5,2,2,1.0
1921_6,3,1921_6,1,2,2.0
1921_7,6,1921_7,3,3,1.0
1921_8,2,1921_8,2,0,0.0
1921_9,4,1921_9,0,4,inf
1922_1,4,1922_1,7,-3,-0.42857142857142855
1922_10,7,1922_10,2,5,2.5
1922_11,8,1922_11,2,6,3.0
1922_12,5,1922_12,1,4,4.0
1922_2,4,1922_2,3,1,0.3333333333333333
1922_3,4,1922_3,1,3,3.0
1922_4,2,1922_4,0,2,inf
1922_5,0,1922_5,5,-5,-1.0
1922_6,0,1922_6,2,-2,-1.0
1922_7,5,1922_7,2,3,1.5
1922_8,2,1922_8,2,0,0.0
1922_9,5,1922_9,1,4,4.0
1923_1,8,1923_1,7,1,0.14285714285714285
1923_10,4,1923_10,2,2,1.0
1923_11,7,1923_11,3,4,1.3333333333333333
1923_12,2,1923_12,2,0,0.0
1923_2,7,1923_2,6,1,0.16666666666666666
1923_3,9,1923_3,5,4,0.8
1923_4,8,1923_4,1,7,7.0
1923_5,1,1923_5,3,-2,-0.6666666666666666
1923_6,3,1923_6,1,2,2.0
1923_7,2,1923_7,2,0,0.0
1923_8,1,1923_8,0,1,inf
1923_9,5,1923_9,0,5,inf
1924_1,11,1924_1,6,5,0.8333333333333334
1924_10,9,1924_10,3,6,2.0
1924_11,2,1924_11,2,0,0.0
1924_12,7,1924_12,1,6,6.0
1924_2,4,1924_2,2,2,1.0
1924_3,5,1924_3,1,4,4.0
1924_4,3,1924_4,4,-1,-0.25
1924_5,2,1924_5,3,-1,-0.3333333333333333
1924_6,3,1924_6,3,0,0.0
1924_7,6,1924_7,5,1,0.2
1924_8,1,1924_8,1,0,0.0
1924_9,3,1924_9,2,1,0.5
1925_1,9,1925_1,11,-2,-0.18181818181818182
1925_10,1,1925_10,3,-2,-0.6666666666666666
1925_11,3,1925_11,5,-2,-0.4
1925_12,8,1925_12,6,2,0.3333333333333333
1925_2,3,1925_2,2,1,0.5
1925_3,9,1925_3,2,7,3.5
1925_4,4,1925_4,3,1,0.3333333333333333
1925_5,3,1925_5,1,2,2.0
1925_6,8,1925_6,2,6,3.0
1925_7,8,1925_7,1,7,7.0
1925_8,2,1925_8,2,0,0.0
1925_9,3,1925_9,2,1,0.5
1926_1,5,1926_1,3,2,0.6666666666666666
1926_10,11,1926_10,4,7,1.75
1926_11,4,1926_11,4,0,0.0
1926_12,9,1926_12,1,8,8.0
1926_2,3,1926_2,4,-1,-0.25
1926_3,4,1926_3,2,2,1.0
1926_4,7,1926_4,3,4,1.3333333333333333
1926_5,3,1926_5,4,-1,-0.25
1926_6,7,1926_6,1,6,6.0
1926_7,5,1926_7,3,2,0.6666666666666666
1926_8,4,1926_8,1,3,3.0
1926_9,5,1926_9,6,-1,-0.16666666666666666
1927_1,9,1927_1,7,2,0.2857142857142857
1927_10,9,1927_10,5,4,0.8
1927_11,1,1927_11,4,-3,-0.75
1927_12,10,1927_12,7,3,0.42857142857142855
1927_2,12,1927_2,4,8,2.0
1927_3,6,1927_3,11,-5,-0.45454545454545453
1927_4,6,1927_4,5,1,0.2
1927_5,4,1927_5,6,-2,-0.3333333333333333
1927_6,2,1927_6,6,-4,-0.6666666666666666
1927_7,11,1927_7,2,9,4.5
1927_8,5,1927_8,1,4,4.0
1927_9,9,1927_9,3,6,2.0
1928_1,10,1928_1,10,0,0.0
1928_10,5,1928_10,5,0,0.0
1928_11,2,1928_11,5,-3,-0.6
1928_12,13,1928_12,5,8,1.6
1928_2,12,1928_2,0,12,inf
1928_3,13,1928_3,13,0,0.0
1928_4,11,1928_4,2,9,4.5
1928_5,7,1928_5,14,-7,-0.5
1928_6,7,1928_6,5,2,0.4
1928_7,4,1928_7,5,-1,-0.2
1928_8,2,1928_8,0,2,inf
1928_9,4,1928_9,3,1,0.3333333333333333
1929_1,11,1929_1,5,6,1.2
1929_10,8,1929_10,7,1,0.14285714285714285
1929_11,7,1929_11,5,2,0.4
1929_12,11,1929_12,4,7,1.75
1929_2,4,1929_2,4,0,0.0
1929_3,6,1929_3,9,-3,-0.3333333333333333
1929_4,5,1929_4,3,2,0.6666666666666666
1929_5,12,1929_5,7,5,0.7142857142857143
1929_6,8,1929_6,4,4,1.0
1929_7,4,1929_7,4,0,0.0
1929_8,5,1929_8,3,2,0.6666666666666666
1929_9,4,1929_9,4,0,0.0
1930_1,16,1930_1,11,5,0.45454545454545453
1930_10,9,1930_10,15,-6,-0.4
1930_11,6,1930_11,8,-2,-0.25
1930_12,16,1930_12,12,4,0.3333333333333333
1930_2,8,1930_2,10,-2,-0.2
1930_3,12,1930_3,12,0,0.0
1930_4,8,1930_4,6,2,0.3333333333333333
1930_5,10,1930_5,7,3,0.42857142857142855
1930_6,7,1930_6,5,2,0.4
1930_7,10,1930_7,5,5,1.0
1930_8,6,1930_8,1,5,5.0
1930_9,8,1930_9,4,4,1.0
1931_1,17,1931_1,10,7,0.7
1931_10,11,1931_10,14,-3,-0.21428571428571427
1931_11,8,1931_11,9,-1,-0.1111111111111111
1931_12,20,1931_12,11,9,0.8181818181818182
1931_2,9,1931_2,5,4,0.8
1931_3,13,1931_3,3,10,3.3333333333333335
1931_4,8,1931_4,4,4,1.0
1931_5,13,1931_5,6,7,1.1666666666666667
1931_6,7,1931_6,5,2,0.4
1931_7,11,1931_7,8,3,0.375
1931_8,4,1931_8,3,1,0.3333333333333333
1931_9,7,1931_9,2,5,2.5
1932_1,26,1932_1,11,15,1.3636363636363635
1932_10,16,1932_10,8,8,1.0
1932_11,15,1932_11,9,6,0.6666666666666666
1932_12,13,1932_12,7,6,0.8571428571428571
1932_2,10,1932_2,15,-5,-0.3333333333333333
1932_3,19,1932_3,10,9,0.9
1932_4,11,1932_4,7,4,0.5714285714285714
1932_5,15,1932_5,10,5,0.5
1932_6,6,1932_6,0,6,inf
1932_7,7,1932_7,4,3,0.75
1932_8,5,1932_8,0,5,inf
1932_9,8,1932_9,5,3,0.6
1933_1,15,1933_1,10,5,0.5
1933_10,12,1933_10,8,4,0.5
1933_11,10,1933_11,5,5,1.0
1933_12,21,1933_12,9,12,1.3333333333333333
1933_2,10,1933_2,11,-1,-0.09090909090909091
1933_3,18,1933_3,7,11,1.5714285714285714
1933_4,15,1933_4,18,-3,-0.16666666666666666
1933_5,11,1933_5,8,3,0.375
1933_6,16,1933_6,9,7,0.7777777777777778
1933_7,18,1933_7,4,14,3.5
1933_8,7,1933_8,7,0,0.0
1933_9,11,1933_9,8,3,0.375
1934_1,23,1934_1,10,13,1.3
1934_10,17,1934_10,17,0,0.0
1934_11,13,1934_11,7,6,0.8571428571428571
1934_12,12,1934_12,8,4,0.5
1934_2,11,1934_2,13,-2,-0.15384615384615385
1934_3,20,1934_3,18,2,0.1111111111111111
1934_4,13,1934_4,7,6,0.8571428571428571
1934_5,15,1934_5,5,10,2.0
1934_6,3,1934_6,3,0,0.0
1934_7,10,1934_7,5,5,1.0
1934_8,9,1934_8,2,7,3.5
1934_9,14,1934_9,14,0,0.0
1935_1,19,1935_1,18,1,0.05555555555555555
1935_10,23,1935_10,13,10,0.7692307692307693
1935_11,21,1935_11,16,5,0.3125
1935_12,20,1935_12,11,9,0.8181818181818182
1935_2,13,1935_2,15,-2,-0.13333333333333333
1935_3,19,1935_3,15,4,0.26666666666666666
1935_4,10,1935_4,4,6,1.5
1935_5,24,1935_5,15,9,0.6
1935_6,8,1935_6,3,5,1.6666666666666667
1935_7,16,1935_7,12,4,0.3333333333333333
1935_8,11,1935_8,6,5,0.8333333333333334
1935_9,23,1935_9,11,12,1.0909090909090908
1936_1,30,1936_1,17,13,0.7647058823529411
1936_10,15,1936_10,12,3,0.25
1936_11,9,1936_11,10,-1,-0.1
1936_12,21,1936_12,16,5,0.3125
1936_2,10,1936_2,15,-5,-0.3333333333333333
1936_3,28,1936_3,16,12,0.75
1936_4,22,1936_4,10,12,1.2
1936_5,20,1936_5,13,7,0.5384615384615384
1936_6,16,1936_6,7,9,1.2857142857142858
1936_7,17,1936_7,11,6,0.5454545454545454
1936_8,9,1936_8,5,4,0.8
1936_9,16,1936_9,13,3,0.23076923076923078
1937_1,24,1937_1,23,1,0.043478260869565216
1937_10,18,1937_10,12,6,0.5
1937_11,22,1937_11,17,5,0.29411764705882354
1937_12,25,1937_12,19,6,0.3157894736842105
1937_2,15,1937_2,7,8,1.1428571428571428
1937_3,21,1937_3,21,0,0.0
1937_4,15,1937_4,17,-2,-0.11764705882352941
1937_5,21,1937_5,12,9,0.75
1937_6,14,1937_6,9,5,0.5555555555555556
1937_7,27,1937_7,12,15,1.25
1937_8,13,1937_8,3,10,3.3333333333333335
1937_9,17,1937_9,6,11,1.8333333333333333
1938_1,27,1938_1,27,0,0.0
1938_10,21,1938_10,13,8,0.6153846153846154
1938_11,18,1938_11,14,4,0.2857142857142857
1938_12,21,1938_12,19,2,0.10526315789473684
1938_2,18,1938_2,13,5,0.38461538461538464
1938_3,15,1938_3,15,0,0.0
1938_4,22,1938_4,8,14,1.75
1938_5,14,1938_5,13,1,0.07692307692307693
1938_6,21,1938_6,7,14,2.0
1938_7,16,1938_7,12,4,0.3333333333333333
1938_8,18,1938_8,12,6,0.5
1938_9,18,1938_9,9,9,1.0
1939_1,32,1939_1,21,11,0.5238095238095238
1939_10,18,1939_10,14,4,0.2857142857142857
1939_11,17,1939_11,16,1,0.0625
1939_12,23,1939_12,14,9,0.6428571428571429
1939_2,19,1939_2,12,7,0.5833333333333334
1939_3,28,1939_3,18,10,0.5555555555555556
1939_4,21,1939_4,11,10,0.9090909090909091
1939_5,14,1939_5,9,5,0.5555555555555556
1939_6,24,1939_6,12,12,1.0
1939_7,17,1939_7,11,6,0.5454545454545454
1939_8,9,1939_8,11,-2,-0.18181818181818182
1939_9,21,1939_9,7,14,2.0
1940_1,16,1940_1,19,-3,-0.15789473684210525
1940_10,21,1940_10,15,6,0.4
1940_11,15,1940_11,10,5,0.5
1940_12,18,1940_12,18,0,0.0
1940_2,15,1940_2,10,5,0.5
1940_3,31,1940_3,20,11,0.55
1940_4,27,1940_4,23,4,0.17391304347826086
1940_5,16,1940_5,10,6,0.6
1940_6,16,1940_6,21,-5,-0.23809523809523808
1940_7,16,1940_7,11,5,0.45454545454545453
1940_8,15,1940_8,7,8,1.1428571428571428
1940_9,17,1940_9,12,5,0.4166666666666667
1941_1,42,1941_1,28,14,0.5
1941_10,23,1941_10,9,14,1.5555555555555556
1941_11,20,1941_11,16,4,0.25
1941_12,24,1941_12,25,-1,-0.04
1941_2,19,1941_2,10,9,0.9
1941_3,30,1941_3,20,10,0.5
1941_4,23,1941_4,13,10,0.7692307692307693
1941_5,29,1941_5,19,10,0.5263157894736842
1941_6,21,1941_6,15,6,0.4
1941_7,29,1941_7,19,10,0.5263157894736842
1941_8,15,1941_8,14,1,0.07142857142857142
1941_9,22,1941_9,15,7,0.4666666666666667
1942_1,23,1942_1,31,-8,-0.25806451612903225
1942_10,23,1942_10,23,0,0.0
1942_11,19,1942_11,16,3,0.1875
1942_12,34,1942_12,13,21,1.6153846153846154
1942_2,20,1942_2,21,-1,-0.047619047619047616
1942_3,6,1942_3,19,-13,-0.6842105263157895
1942_4,15,1942_4,14,1,0.07142857142857142
1942_5,10,1942_5,14,-4,-0.2857142857142857
1942_6,19,1942_6,19,0,0.0
1942_7,17,1942_7,13,4,0.3076923076923077
1942_8,10,1942_8,8,2,0.25
1942_9,21,1942_9,13,8,0.6153846153846154
1943_1,29,1943_1,29,0,0.0
1943_10,27,1943_10,19,8,0.42105263157894735
1943_11,22,1943_11,16,6,0.375
1943_12,17,1943_12,8,9,1.125
1943_2,26,1943_2,21,5,0.23809523809523808
1943_3,19,1943_3,11,8,0.7272727272727273
1943_4,19,1943_4,19,0,0.0
1943_5,15,1943_5,11,4,0.36363636363636365
1943_6,22,1943_6,9,13,1.4444444444444444
1943_7,26,1943_7,10,16,1.6
1943_8,14,1943_8,11,3,0.2727272727272727
1943_9,18,1943_9,18,0,0.0
1944_1,26,1944_1,16,10,0.625
1944_10,22,1944_10,16,6,0.375
1944_11,23,1944_11,12,11,0.9166666666666666
1944_12,23,1944_12,13,10,0.7692307692307693
1944_2,13,1944_2,16,-3,-0.1875
1944_3,26,1944_3,9,17,1.8888888888888888
1944_4,10,1944_4,19,-9,-0.47368421052631576
1944_5,23,1944_5,15,8,0.5333333333333333
1944_6,14,1944_6,13,1,0.07692307692307693
1944_7,22,1944_7,11,11,1.0
1944_8,11,1944_8,12,-1,-0.08333333333333333
1944_9,21,1944_9,16,5,0.3125
1945_1,18,1945_1,15,3,0.2
1945_10,17,1945_10,15,2,0.13333333333333333
1945_11,25,1945_11,24,1,0.041666666666666664
1945_12,29,1945_12,13,16,1.2307692307692308
1945_2,18,1945_2,10,8,0.8
1945_3,20,1945_3,8,12,1.5
1945_4,21,1945_4,18,3,0.16666666666666666
1945_5,19,1945_5,13,6,0.46153846153846156
1945_6,12,1945_6,9,3,0.3333333333333333
1945_7,14,1945_7,10,4,0.4
1945_8,14,1945_8,8,6,0.75
1945_9,16,1945_9,13,3,0.23076923076923078
1946_1,27,1946_1,26,1,0.038461538461538464
1946_10,24,1946_10,15,9,0.6
1946_11,15,1946_11,20,-5,-0.25
1946_12,16,1946_12,12,4,0.3333333333333333
1946_2,15,1946_2,12,3,0.25
1946_3,15,1946_3,16,-1,-0.0625
1946_4,20,1946_4,15,5,0.3333333333333333
1946_5,20,1946_5,15,5,0.3333333333333333
1946_6,14,1946_6,11,3,0.2727272727272727
1946_7,29,1946_7,20,9,0.45
1946_8,20,1946_8,15,5,0.3333333333333333
1946_9,18,1946_9,10,8,0.8
1947_1,47,1947_1,18,29,1.6111111111111112
1947_10,29,1947_10,22,7,0.3181818181818182
